SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012002,持续经营业务税后利润,7534000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012999,除税后溢利,7534000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025001,少数股东损益,-25000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025002,股东应占溢利,7559000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027002,每股基本盈利,2.5
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027003,每股摊薄盈利,2.48
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030997,其他全面收益其他项目,123000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030999,其他全面收益,123000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004039999,全面收益总额,7657000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-456000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,8113000000.0
09888.HK,09888,百度集团-SW,10088143,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004099999,非运算项目,-171906999960.13
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001001,营业额,80695000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001002,其他营业收入,43798000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001999,营运收入,124493000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004005002,销售成本,64314000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004007999,毛利,60179000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010003,销售及分销费用,24723000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010010,研发费用,24938000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010999,经营溢利,10518000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011200,利息收入,5551000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011201,融资成本,3421000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011997,溢利其他项目,-1870000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011999,除税前溢利,10778000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012001,税项,3187000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012002,持续经营业务税后利润,7591000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012999,除税后溢利,7591000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025001,少数股东损益,-2635000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025002,股东应占溢利,10226000000.0
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027002,每股基本盈利,3.58
09888.HK,09888,百度集团-SW,10088143,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027003,每股摊薄盈利,3.51
