SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001030,中长期存款,24666000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,29994000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,176504000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002003,应收帐款,10848000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002006,应收关联方款项,1424000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002008,短期投资,168670000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,11503000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002010,现金及等价物,25231000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002997,流动资产其他项目,12579000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004002999,流动资产合计,230255000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004009999,总资产,406759000000.0,2023-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,004011001,应付帐款,37717000000.0,2023-12-31 00:00:00
